=== register: 100301|44f0 ===
[2604] 0100|00|00|05|fa0001||100301|44f0||...D.||259,61508

=== register: 100301|54e0 ===
[2231] 0100|00|00|05|fa0001||100301|54e0||...T.||259,57428

=== register: 100301|54f0 ===
[2] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[4] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[16] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[33] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[35] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[56] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[72] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[76] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[98] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[115] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[117] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[138] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[154] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[156] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[177] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[196] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[200] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[245] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[248] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[272] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[289] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[291] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[312] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[328] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[332] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[355] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[372] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[374] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[395] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[410] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[412] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[432] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[450] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[454] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[477] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
[494] 0100|00|00|05|fa0001||100301|54f0||...T.||259,61524
