2025-07-30T21:10:53.494 0100|1a|f7|ff|ffff01|0000d0012e047875010001d0012d058889ffffffffffffffffffffffffff010000d0012e047875010001d0012d0588890100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa000154010121b10100010006f801fe54010100a1c6ffffffffffffffffffffff010000d0012e047875010001d0012d058889ffffffffffffffffffffff010000d0012e047875010001d0012d058889ffffffffffff0100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa000110030154f00100010007f701fe100301ffff859c01[payload->]...xu.....-.......................xu.....-...........4#...........4#........v........T..!.........T.......................xu.....-.....................xu.....-.................T..q.........T.....o........T............T................T.................||0,412
2025-07-31T01:14:33.150 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa000150010020310100010006f801fe5001000001c60100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa0001365401af2f0100010007f701fe365401ac0d4338ff000000d0012e047875010001d0012d0588890100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa000154010121b10100010006f801fe54010100a1c6ffff010000d0012e047875010001d0012d058889010000d0012e047875010001d0012d0588890100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa0001541d01[payload->]...xu.....-...........P.. 1........P.............6U.?.........6U.............6T../........6T...C8........xu.....-...........4#...........4#........v........T..!.........T..............xu.....-..........xu.....-...........T..q.........T.....o........T..||0,285
2025-07-31T04:20:03.621 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa000150010020310100010006f801fe5001040001c60100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa0001365401af2f0100010007f701fe365401ac0d4338ff010000d0012e047875010001d0012d0588890100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa000154010121b10100010006f801fe54010100a1c6ffffff0100000005fa000110030154f00100010007f701fe100301ffff859c0100000005fa00012004016bf20100010009f501fe200401ffffffff850d0100000005fa00013463015f98010001[payload->]...xu.....-...........P.. 1........P.............6U.?.........6U.............6T../........6T...C8........xu.....-...........4#...........4#........v........T..!.........T...................T........................ ..k......... ................4c._....||0,256
2025-07-31T05:24:04.330 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa000110030154f00100010007f701fe100301ffff859c0100000005fa00012004016bf20100010009f501fe200401ffffffff850d0100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa000150010020310100010006f801fe5001000001c60100000005fa00013655013f2e0100010007f701fe365501800cbfe40100000005fa0001200201cbf1059401000bf301fe200201ae8da802453b1e8d0100000005fa0001365401af2f0100010007f701fe365401ac0d43380100000005fa0003100301ecf10100010007f701fe100301ffff859c0100000005[payload->]...xu.....-..............T........................ ..k......... ................4#...........4#........v........P.. 1........P.............6U.?.........6U............. ............ ......E;..........6T../........6T...C8.................................||1,280
2025-07-31T06:01:54.580 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa000110030154f00100010007f701fe100301ffff859c0100000005fa00012004016bf20100010009f501fe200401ffffffff850d0100000005fa00013423019fa9010001000bf301fe342301000000000000b8760100000005fa0001200201cbf1010001000bf301fe200201ae8da802453b1e8d0100000005fa0003100301ecf10100010007f701fe100301ffff859c0100000005fa0003200401d3f30100010009f501fe200401ffffffff850d0100000005fa000320020173f0010001000bf301fe2002010000000000006c4affff0100000005fa000154010121b10100010006f801fe540101[payload->]...xu.....-..............T........................ ..k......... ................4#...........4#........v........ ............ ......E;...................................... ............ ................ ..s......... ........lJ..........T..!.........T..||0,257
2025-07-31T15:36:38.623 0100|00|1e|6f|ffff01|0000d0012e047875000001d0012d0588890100000005fa000110030154f00100010007f701fe100301ffff859c0100000005fa00013012000e3c0100010006f801fe3012000104e80100000005fa00013023009e29010001000bf301fe302300c86c5903533b464b0100000005fa00[payload->]...xu.....-..............T........................0...<........0.............0#..)........0#..lY.S;FK.......||0,250
2025-08-01T07:44:37.907 0100|71|b9|08|ffff01|0000d0012e047875[payload->]...xu||30,072
2025-08-01T12:31:22.858 0100|00|01|c6|fefb01|0000d0012e047875010001d0012d058889ffff010000d0012e047875010001d0012d058889ffffffffff0100000005fa0001347101ff940100010006f801fe347101007ad90100000005fa00013458016f8b0100010006f801fe34580100b208ff0100000005fa0001501a00d03b0100010007f701fe501a00bc0ca3ba0100000005fa00013660016f39010001000bf301fe366001000000000000fd2b0100000005fa0001560e0111150100010006f801fe560e01001af70100000005fa0001560e01111501[payload->]...xu.....-............xu.....-................4q...........4q..z.........4X.o.........4X.............P...;........P..............6`.o9........6`........+........V............V.............V.....||0,277
2025-08-01T22:21:23.002 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa00013458016f8b0100010006f801fe34580100b208ffffffffff010000d0012e047875010001d0012d0588890100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa00013422010fa8010001000bf301fe34220100000000000074b70100000005fa00013463015f980100010006f801fe346301007f790100000005fa000154040171b20100010007f701fe540401f0004e280100000005fa00013660016f39410001000bf301fe366001000000000000fd2bffffff0100000005fa0001540101[payload->]...xu.....-...........T............T.............4X.o.........4X................xu.....-...........T..q.........T.....o........4"...........4".......t.........4c._.........4c...y........T..q.........T....N(........6`.o9A.......6`........+...........T..||0,257
2025-08-02T00:33:24.968 0100|a1|c6|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa000110030154f00100010007f701fe100301ffff859c0100000005fa000154190121bb0100414007f701fe5419013c00227b0100000005fa00012004016bf20100010009f501fe200401ffffffff850d0100000005fa000150aa00104e0100010006f801fe50aa0000e1b70100000005fa0001200201cbf1010001000bf301fe200201ae8da802453b1e8d0100000005fa0003100301ecf10100010007f701fe100301ffff859c0100000005fa0003200401d3f30100010009f501fe200401fffffeff850d0100000005fa000320020173f0090801000bf301fe2002010000000000006c4a010000[payload->]...xu.....-..............T........................T..!...A@....T..<."{........ ..k......... ................P...N........P............. ............ ......E;...................................... ............ ................ ..s......... ........lJ...||0,000
2025-08-02T02:23:23.019 0100|71|99|ff|ffff01|0000d0012e047875010001d0012d0588890100000005fa0001541d01e1b90100010006f801fe541d0101a7c60100000005fa00013458016f8b0100010006f801fe34580100b208f8010000d0012e047875010001d0012d0588890100000005fa000154080171b70100010007f701fe54080100001e6f0100000005fa00013422010fa8010001000bf301fe34220100000000000074b70100000005fa00013463015f980100010006f801fe346301007f790100000005fa000154040171b20100010007f701fe540401f5001e2b0100000005fa00013660016f39010001000bf301fe366001000000000000fd2bffffff0100000005fa000154010121b10100[payload->]...xu.....-...........T............T.............4X.o.........4X............xu.....-...........T..q.........T.....o........4"...........4".......t.........4c._.........4c...y........T..q.........T.....+........6`.o9........6`........+...........T..!...||0,001
