2025-07-31T08:28:03.406 0100|01|00|09|f50100|010006f801fe345801[payload->]...4X.||0,344
2025-08-01T04:55:47.423 0100|00|00|05|fa0100|010006f801[payload->]..||0,504
2025-08-01T06:31:30.959 0100|01|00|06|f80100|010006f801fe[payload->]...||65,025
2025-08-01T10:50:58.674 0100|01|04|43|220100|010006f801fe503b0409ca240100000005fa00013019003e3b0100010006f801fe30190007c4190100000005fa0001301901fefa0100010009f501fe30190101100101[payload->]...P;...$........0..>;........0.............0............0......||0,257
2025-08-01T23:11:39.976 0100|00|00|05|fa0100|010006f801[payload->]..||0,504
2025-08-02T01:31:30.850 0100|01|00|06|f80100|010006f801fe[payload->]...||65,025
2025-08-02T02:44:46.372 0100|00|00|05|fa0000|010006f801[payload->]..||0,504
2025-08-02T05:06:44.569 0100|01|00|06|f80100|010006f801fe[payload->]...||65,025
2025-08-02T11:32:21.161 0100|00|00|05|fa0100|010006f801[payload->]..||0,504
2025-08-02T17:57:53.365 0100|01|00|3e|3b0100|010006f801fe30190007c4190100000005fa0001301901fefa0100010009f501fe3019010110010134de0100000005fa0001301902ffba010001003c00ae[payload->]...0.............0............0......4.........0........<..||44,544
2025-08-03T05:07:35.594 0100|01|00|06|f80100|010006f801fe[payload->]...||65,025
2025-08-03T09:11:08.014 0100|00|00|05|fa0000|010006f801[payload->]..||0,504
2025-08-03T16:31:31.620 0100|01|00|10|4e0100|010006f801fe50aa0000e1b701000000[payload->]...P.........||0,000
