2025-07-31T18:06:15.114 0100|00|00|05|fa0001|01ae8da802[payload->]..||0,680
2025-08-01T22:11:24.537 0100|0b|f3|21|fe2002|01ae8da802453b1e8d0100000005fa0003100301ecf10100010007f701fe100301[payload->]..E;..........................||0,259
2025-08-01T23:02:04.422 0100|0b|f3|09|fe2002|01ae8da802453b1e8d[payload->]..E;..||36,126
2025-08-01T23:13:40.287 0100|0b|f3|81|fe2002|01ae8da802453b1e8d0100000005fa000156100071dd0100010007f701fe561000800c7b200100000005fa0001500e00d034010003000ef801fe500e000002f60100000005fa0003100301ecf10100010007f701fe100301ffff859c0100000005fa0003200401d3f30100010009f501fe200401ffffffff850d0100000005fa00[payload->]..E;..........V..q.........V....{ ........P...4........P......................................... ............ ...............||0,250
2025-08-01T23:36:39.613 0100|0b|33|40|ff9002|01ae8da802453b1e8d0100000005fa000156100071dd0100010007f701fe561000800c7b200100000005fa0001500e00d0340100050006f801fe500e000002f6[payload->]..E;..........V..q.........V....{ ........P...4........P.....||62,978
2025-08-01T23:52:39.993 0100|0f|f3|91|fe2002|01ae8da802453b1e8d0100000005fa000156100071dd0100010007f701fe561000800c7b200100000005fa0001500e00d0340100010006f801fe500e000002f60100000005fa0003100301ecf10100010007f701fe100301ffff859c0100000005fa0003200401d3f30100010009f501fe200401ffffffff850d0100000005fa000320020173f0010001000bf301fe2002[payload->]..E;..........V..q.........V....{ ........P...4........P......................................... ............ ................ ..s......... .||0,544
2025-08-02T00:09:24.689 0100|0b|f3|09|fe2002|01ae8da802453b1e8d[payload->]..E;..||36,126
2025-08-02T09:04:39.607 0100|0b|fb|09|fe2002|01ae8da802453b1e8d[payload->]..E;..||36,126
2025-08-02T09:18:39.554 0100|0b|f3|09|fe2002|01ae8da802453b1e8d[payload->]..E;..||36,126
2025-08-02T09:42:39.576 0100|0b|f3|03|fe2002|01ae8d[payload->]||36,270
2025-08-02T09:43:19.829 0100|0b|fb|43|fe2002|01ae8da802453b1e8d0100000005fa0003100301ecf10100010007f701fe100301ffff859c0100000005fa00013023009e29010001000bf301fe302300b8071602553b[payload->]..E;......................................0#..)........0#.....U;||15,189
2025-08-02T09:54:49.650 0100|0b|f3|09|fe2002|01ae8da802453b1e8d[payload->]..E;..||36,126
2025-08-02T09:56:49.851 0100|4b|f3|41|fe2202|01ae8da802453b1e8d0100000005fa0003100301ecf10100010007f701fe100301ffff859c0100000005fa0003200401d3f30100010009f501fe200401ffffffff[payload->]..E;...................................... ............ ......||65,535
2025-08-02T12:56:54.722 0100|2b|f7|05|fe2002|01ae8da802[payload->]..||0,680
2025-08-02T13:50:54.775 0100|0b|f3|41|fe2002|01ae8da802453b1e8d0100000005fa0003100301ecf10100010007f701fe100301ffff859c0100000005fa0003200401d3f30100010009f501fe200401ffffffff[payload->]..E;...................................... ............ ......||65,535
2025-08-02T19:20:39.907 0100|0b|f3|09|fe2002|01ae8da802453b1e8d[payload->]..E;..||36,126
