2025-07-31T00:15:16.118 0100|01|00|07|f701fe|5403010000ffff[payload->]....||65,535
2025-07-31T03:29:22.710 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
2025-07-31T04:19:22.767 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
2025-07-31T04:27:32.690 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
2025-07-31T11:38:56.532 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
2025-07-31T18:43:14.315 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
2025-08-01T02:07:19.209 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
2025-08-01T10:57:43.063 0100|01|00|06|f801fe|540301016107[payload->].a.||1,889
2025-08-02T03:55:13.170 0100|01|00|06|f809fe|54030102a1c6[payload->]...||50,849
2025-08-02T08:02:25.138 0100|01|08|06|f801fe|54030140a1c6[payload->]@..||50,849
2025-08-02T16:22:22.368 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
2025-08-02T19:03:21.445 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
2025-08-03T01:08:19.464 0100|01|40|06|f801fe|54030100a1c6[payload->]...||50,849
2025-08-03T02:56:40.404 0100|01|00|06|f801fe|54030100a1c6[payload->]...||50,849
